They also developed a Responsible Care system with other members of the chemical industry as a	<UNKNOWN>	"the Bhopal crisis , which was designed to help prevent such an event in the future ."	1
Contamination at the site and surrounding area was not	<UNKNOWN>	the gas leakage .	1
UCC 's laboratory tests in 1989 revealed that soil	<UNKNOWN>	water samples collected from near the factory were toxic to fish .	0
"In 2002 , The Yes Men issued a fake press release explaining why Dow"	<UNKNOWN>	"to take responsibility for the disaster and started up a website , at `` DowEthics.com '' , designed to look like the real Dow website , but containing hoax information ."	0
This caused a chemical reaction	<UNKNOWN>	"the buildup of much Carbon dioxide , among other things ."	2
"Between 3,500 and 25,000 people died"	<UNKNOWN>	contact with the cloud of toxic gas .	2
"The inter-plate relative motion caused large scale structural deformation inside the Asian continent ,"	<UNKNOWN>	"a thinning crust of the Qinghai-Tibet Plateau , the uplift of its landscape and an eastward extrude ."	2
The inter-plate relative motion	<UNKNOWN>	"large scale structural deformation inside the Asian continent , resulting in a thinning crust of the Qinghai-Tibet Plateau , the uplift of its landscape and an eastward extrude ."	2
The earthquake occurred as	<UNKNOWN>	motion on a northeast striking reverse fault or thrust fault on the northwestern margin of the Sichuan Basin .	2
The earthquake 's epicenter and focal-mechanism are consistent with it having occurred as	<UNKNOWN>	movement on the Longmenshan fault or a tectonically related fault .	1
The earthquake reflects tectonic stresses	<UNKNOWN>	"the convergence of crustal material slowly moving from the high Tibetan Plateau , to the west , against strong crust underlying the Sichuan Basin and southeastern China ."	1
"On a continental scale , the seismicity of central and eastern Asia is a"	<UNKNOWN>	of northward convergence of the Indian Plate against the Eurasian Plate with a velocity of about 50 mm/y .	1
Earthquakes of this size have the potential to	<UNKNOWN>	extensive damage and loss of life .	1
The seismicity of central and eastern Asia is	<UNKNOWN>	"the northward movement of the India plate at a rate of 5 cm/year and its collision with Eurasia , resulting in the uplift of the Himalaya and Tibetan plateaux and associated earthquake activity ."	1
"The seismicity of central and eastern Asia is caused by the northward movement of the India plate at a rate of 5 cm/year and its collision with Eurasia ,"	<UNKNOWN>	the uplift of the Himalaya and Tibetan plateaux and associated earthquake activity .	2
"In August 1933 , the magnitude 7.5 Diexi earthquake , about 90 km northeast of today 's earthquake , destroyed the town of Diexi and surrounding villages , and"	<UNKNOWN>	"many landslides , some of which dammed the rivers ."	2
One SilkAir flight was diverted and landed in Kunming as a	<UNKNOWN>	.	0
Cathay Pacific delayed both legs of its quadruple daily Hong Kong to London route	<UNKNOWN>	this disruption in air traffic services .	1
"All of the highways into Wenchuan , and others throughout the province , were damaged ,"	<UNKNOWN>	delayed arrival of the rescue troops .	2
"Immediately after the earthquake event , mobile"	<UNKNOWN>	"terrestrial telecommunications were cut to the affected and surrounding area , with all internet capabilities cut to the Sichuan area too ."	0
"China Mobile had more than 2,300 base stations suspended"	<UNKNOWN>	power disruption or severe telecommunication traffic congestion .	1
"According to Chinese state officials , the quake"	<UNKNOWN>	"69,180 known deaths including 68,636 in Sichuan province ; 18,498 people are listed as missing , and 374,176 injured , but these figures may further increase as more reports come in ."	2
"In terms of school casualties , thousands of school children died"	<UNKNOWN>	shoddy construction .	1
"Reginald DesRoches , a professor of civil and environmental engineering at Georgia Tech , pointed out that the massive damage of properties"	<UNKNOWN>	houses in the earthquake area was because China did not create an adequate seismic design code until after the devastating 1976 Tangshan earthquake .	0
"Pingwu County and Beichuan County , Sichuan , also northeast of Wenchuan and close to the epicenter of a 7.2 Ms earthquake in 1976 , suffered a 6.1 Ms aftershock ( 5.7 Mw according to USGS ) on August 1 ; it"	<UNKNOWN>	"2 deaths , 345 injuries , collapse of 707 homes , damages to over 1,000 homes , and blocked of country roads ."	2
"However , the Red Cross Society of China said that ( on May 13 ) `` it was inconvenient currently"	<UNKNOWN>	the traffic problem to the hardest hit areas closest to the epicenter . ''	1
"By May 15 , Premier Wen Jiabao ordered the deployment of an additional 90 helicopters , of which 60 were to be provided by the PLAAF , and 30 were to be provided by the civil aviation industry , bringing the total of number of aircraft deployed in relief operations by the air force , army , and civil aviation to over 150 ,"	<UNKNOWN>	the largest non-combat airlifting operation in People 's Liberation Army history .	2
"Approval from mainland Chinese authorities was sought , and the chartered flight departed Taipei at 17:00 CST , May 15"	<UNKNOWN>	arrived in Chengdu by 20:30 CST .	0
"As a result of the magnitude 7.9 earthquake and the many strong aftershocks , many rivers became blocked by large landslides ,"	<UNKNOWN>	"the formation of `` quake lakes '' behind the blockages ; these massive amounts of water were pooling up at a very high rate behind the natural landslide dams and it was feared that the blockages would eventually crumble under the weight of the ever-increasing water mass , potentially endangering the lives of millions of people living downstream ."	2
"As of May 27 , 2008 , 34 lakes had formed"	<UNKNOWN>	"earthquake debris blocking and damming rivers , and it was estimated that 28 of them were still of potential danger to the local people ."	1
The most precarious of these quake-lakes was the one located in the extremely	<UNKNOWN>	"terrain at Mount Tangjia in Beichuan County , Sichuan , accessible only by foot or air ; an Mi-26T heavy lift helicopter belonging to the China Flying Dragon Special Aviation Company was used to bring heavy earthmoving tractors to the affected location ."	0
Although the Chinese government was initially praised for its	<UNKNOWN>	"the quake ( especially in comparison to Myanmar 's ruling military junta 's blockade of aid during Cyclone Nargis ) , it then saw an erosion in confidence over the school construction scandal ."	0
"Schools in poor areas have small budgets and , unlike schools in the cities , they ca n't collect huge fees ,"	<UNKNOWN>	they 're pressed for money .	2
"During that time he obtained more than 400,000 yuan ( US$ 60,000 ) from the county education department , money used to widen"	<UNKNOWN>	"strengthen concrete pillars and the balcony railing of all four storeys of his school , as well as secure its concrete floors ."	0
"However questions still remain , as some of the corrupt government officials have still not been brought to justice , while the"	<UNKNOWN>	"families who lost their only child , are still seeking compensation and justice to what had happened ."	0
"Following the quake , experts"	<UNKNOWN>	"the general public sought information on whether or not the earthquake could have been predicted in advance , and whether or not studying statistics related to the quake could result in better prediction of earthquakes in the future ."	0
The earthquake also provided opportunities	<UNKNOWN>	researchers to retrofit data in order to model future earthquake predictions .	2
Chengdu airport reopened as the airport was	<UNKNOWN>	for relief operations .	0
"China Mobile had lost more than 2,300 base stations"	<UNKNOWN>	lack of power and too many phone calls .	1
"About 2,000 troops were sent to Zipingpu , to try and release"	<UNKNOWN>	through spillway .	0
This was different to Myanmar 's secretive	<UNKNOWN>	"Cyclone Nargis , which struck the country 10 days before the earthquake ."	0
"Air defense , police and fire sirens ,"	<UNKNOWN>	"the horns of vehicles , vessels and trains sounded ."	0
"During January 2011 , the Philippine Atmospheric , Geophysical and Astronomical Services Administration predicted that between twenty and twenty-three tropical cyclones were likely"	<UNKNOWN>	and/or enter the Philippine area of responsibility during 2011 .	0
TSR revised its initial prediction during May and	<UNKNOWN>	"predicted that 28.0 tropical storms , 17.7 typhoons , 7.6 `` intense '' typhoons and an ACE index of about 266 ."	0
"On August 4 , TSR"	<UNKNOWN>	"slightly revised these predictions within its final update for 2011 to 28.2 tropical storms , 17.9 typhoons , 8.0 `` intense '' typhoons and an ACE index of about 281 ."	0
Over the next couple of days the depression gradually developed further in an area of	<UNKNOWN>	vertical windshear before it was declared a tropical depression by the JMA and the JTWC during May 6 .	0
"The JTWC then reported later that day that the depression had intensified into a tropical storm with windspeeds of 65 km/h ( 40 mph ) , however it later reported that it had overestimated the windspeeds"	<UNKNOWN>	"consequently lowered the storm 's status to a tropical depression , based on observations from Yap island ."	0
"Egay continued to develop during June 17 ,"	<UNKNOWN>	"it moved towards the northeast , and on June 18 , the JTWC reported that Egay had intensified into a tropical storm ."	0
"In North Korea , heavy rains from the storm"	<UNKNOWN>	widespread flooding and damage .	2
"However by this time Tokage was already interacting with Typhoon Ma-on , with Ma-on 's outflow exposing Tokage 's"	<UNKNOWN>	"level circulation center , and displacing convection to the west ."	0
"Later that day , the storm strengthened over land"	<UNKNOWN>	headed north towards Hainan 's provincial capital region Haikou .	0
About 26 domestic flights were cancelled from July 26 to 27	<UNKNOWN>	heavy rains and strong winds .	1
"Due to the southwest monsoon enhanced by Muifa , it"	<UNKNOWN>	heavy rains in several parts of Luzon including Metro Manila .	2
The system intensified rapidly	<UNKNOWN>	"just 6 hours later , the JMA upgraded the system to a tropical storm , naming it `` Merbok '' ."	2
"On August 27 , five people died after Nanmadol"	<UNKNOWN>	landslides .	1
"On September 5 , after it had peaked in intensity , a fresh Tutt cell developed over the system and started to inhibit outflow and shear the convection away , which meant as a"	<UNKNOWN>	that the system started to weaken .	1
"Over the next two days , the system drifted north"	<UNKNOWN>	"developed a well defined LLCC with organized convective banding , prompting the JMA to upgrade the low pressure area to a tropical depression ."	0
"Also , high sea-surface temperatures and very low wind shear"	<UNKNOWN>	"the system to undergo rapid deepening , prior to which , the JMA upgraded the system to a tropical storm and named it `` Kulap '' ."	1
"Also , Kulap was located beneath a tropical upper tropospheric trough ( TUTT cell ) that"	<UNKNOWN>	subsidence .	2
A mid-level subtropical steering ridge	<UNKNOWN>	Kulap to track in a northwestward direction .	2
"In an advisory , the JTWC reported that there were at least two more vortices associated with the system , that"	<UNKNOWN>	"an abrupt , erratic movement ."	2
"On September 19 , Sonca reached a peak intensity of ( 1-min mean )"	<UNKNOWN>	( 10-min mean ) and soon the convection around the northern periphery started weakening .	0
The system rapidly deepened and	<UNKNOWN>	developed a ragged eye and mesoscale anticyclone aloft generating an exceptionally excellent all-around outflow .	0
"Though the system has maintained overall central deep convection , subsidence persisted along the northwest quadrant which"	<UNKNOWN>	further drop in wind speed .	1
"Later that day , the JTWC issued a Tropical Cyclone Formation Alert stating that the"	<UNKNOWN>	could develop into a tropical cyclone .	0
"Later that day , the storm developed a better organized , however the system 's low level circulation center ( LLCC ) became fully exposed"	<UNKNOWN>	"moderate vertical wind shear from the nearby system , Typhoon Nesat , which also caused the storm to remained very weak with winds of just ."	1
"Later that day , the storm developed a better organized , however the system 's low level circulation center ( LLCC ) became fully exposed due to moderate vertical wind shear from the nearby system , Typhoon Nesat , which also"	<UNKNOWN>	the storm to remained very weak with winds of just .	1
Due to land interaction	<UNKNOWN>	"colder sea surface temperature in the South China Sea , the JMA downgraded Nalgae to a severe tropical storm on October 2 , and then a tropical storm late on October 3 ."	0
Although first feared that Nalgae would	<UNKNOWN>	"much more damage to Luzon , which was severely affected by Typhoon Nesat , damage from the storm was not as anticipated to be lighter than Typhoon Nesat , which ironically is much weaker than Nalgae , but high winds and heavy rains from the storm caused widespread power outages and flooding that left many communities isolated ."	2
"Although first feared that Nalgae would cause much more damage to Luzon , which was severely affected by Typhoon Nesat , damage from the storm was not as anticipated to be lighter than Typhoon Nesat , which ironically is much weaker than Nalgae , but high winds and heavy rains from the storm"	<UNKNOWN>	widespread power outages and flooding that left many communities isolated .	2
"Despite being predicted to intensify into a tropical storm after being designated , the depression moved towards the northwest and rapidly deteriorated as it interacted with the cold and dry north-easterlies , as a"	<UNKNOWN>	the JTWC issued their final warning on the system early on December 5 .	2
"On December 11 , the JTWC cancelled the TCFA on the disturbance"	<UNKNOWN>	the interaction with the cold air coming from the north .	1
"While the Philippine Atmospheric , Geophysical and Astronomical Services Administration assigns names to tropical cyclones which move into or form"	<UNKNOWN>	a tropical depression in their area of responsibility located between 135 ° E and 115 ° E and between 5 ° N-25 ° N even if the cyclone has had an international name assigned to it .	0
"The names of significant tropical cyclones are retired , by both PAGASA"	<UNKNOWN>	the Typhoon Committee .	0
"The Philippine Atmospheric , Geophysical and Astronomical Services Administration ( PAGASA ) announced that the names `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' were retired from PAGASA 's list of local names after they each"	<UNKNOWN>	"over 1 billion PHP in damages to the Philippines during 2011 . PAGASA selected the names `` Betty '' , `` Jenny '' , `` Marilyn '' , `` Perla '' , and `` Sarah '' to replace `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' , and `` Sendong '' respectively The name `` Sendong '' was also retired from the list after it caused over 300 deaths , when it made landfall on the Philippines during December 2011 ."	2
"The Philippine Atmospheric , Geophysical and Astronomical Services Administration ( PAGASA ) announced that the names `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' were retired from PAGASA 's list of local names after they each caused over 1 billion PHP in damages to the Philippines during 2011 . PAGASA selected the names `` Betty '' , `` Jenny '' , `` Marilyn '' , `` Perla '' , and `` Sarah '' to replace `` Bebeng '' , `` Juaning '' , `` Mina '' , `` Pedring '' , and `` Sendong '' respectively The name `` Sendong '' was also retired from the list after it"	<UNKNOWN>	"over 300 deaths , when it made landfall on the Philippines during December 2011 ."	2
"On May 4 and July 5 , 2011 , the GCACIC issued forecasts which predicted the amount of tropical cyclones , tropical storms and typhoons there would be during 2011"	<UNKNOWN>	well as for how many tropical cyclones will make landfall on China or pass within 100 km ( 60 mi ) of the Korean Peninsula or Japan .	0
"On May 4 and July 5 , 2011 , the GCACIC issued forecasts which predicted the amount of tropical cyclones , tropical storms and typhoons there would be during 2011 as well"	<UNKNOWN>	for how many tropical cyclones will make landfall on China or pass within 100 km ( 60 mi ) of the Korean Peninsula or Japan .	0
"On May 4 and July 5 , 2011 , the GCACIC issued forecasts which predicted the amount of tropical cyclones , tropical storms and typhoons there would be during 2011 as well as"	<UNKNOWN>	how many tropical cyclones will make landfall on China or pass within 100 km ( 60 mi ) of the Korean Peninsula or Japan .	0
However it remained almost stationary by afternoon	<UNKNOWN>	the influence of high pressure in the northeast of the system .	1
"The storm strengthened so rapidly ,"	<UNKNOWN>	"the JTWC reported that the storm 's peak winds were reaching 140 kn , as it strengthened into a Category 5 Typhoon ."	2
"Late on that day , the system started showing extratropical characteristics"	<UNKNOWN>	the convection near the eye dissipated rapidly .	2
"Also , Kulap was beneath a tropical upper tropospheric trough ( TUTT cell ) that"	<UNKNOWN>	subsidence .	1
"Over the next two days , the system gradually drifted west"	<UNKNOWN>	"intensified slightly , prompting the JTWC to issue a Tropical Cyclone Formation Alert ( TCFA ) on it ."	0
Convection gradually consolidated the LLCC	<UNKNOWN>	"the JTWC initiated advisories on the system on September 11 , designating it with `` 18W '' ."	0
"In an advisory , the JTWC reported that there were at-least two more vortices associated with the system , that"	<UNKNOWN>	"an abrupt , erratic movement ."	2
"On September 18 , Sonca reached a peak intensity of 85 kn ( 1-min mean )"	<UNKNOWN>	70 kn ( 10-min mean ) and soon the convection around the northern periphery started weakening .	0
"Later , the LLCC became well organized with flaring deep convection developing around it ,"	<UNKNOWN>	the JMA started monitoring the low as a tropical depression .	2
It was first feared that Nalgae would	<UNKNOWN>	much more damage to Luzon .	2
"On December 13 , the"	<UNKNOWN>	pressure area quickly got stronger .	0
"In the Philippines , Washi"	<UNKNOWN>	"at least 1,268 deaths ."	2
"The Philippine Atmospheric , Geophysical and Astronomical Services Administration ( PAGASA ) said that the names Bebeng , Juaning , Mina , Pedring were retired from PAGASA 's list of local names after they each"	<UNKNOWN>	over 1 billion PHP in damages to the Philippines during 2011 .	2
The table on the right shows the ACE	<UNKNOWN>	each storm in the season .	0
"As a person 's condition declines , they often withdraw from family"	<UNKNOWN>	society .	0
Treatment of behavioral problems or psychosis due to dementia with antipsychotics is common but not usually recommended	<UNKNOWN>	there often being little benefit and an increased risk of early death .	1
"MCI can present with a variety of symptoms ,"	<UNKNOWN>	"when memory loss is the predominant symptom , it is termed `` amnestic MCI '' and is frequently seen as a prodromal stage of Alzheimer 's disease ."	0
"Language problems are mainly characterised by a shrinking vocabulary and decreased word fluency , leading to a general impoverishment of oral"	<UNKNOWN>	written language .	0
Speech difficulties become evident	<UNKNOWN>	"an inability to recall vocabulary , which leads to frequent incorrect word substitutions ( paraphasias ) ."	1
"Complex motor sequences become less coordinated as time passes and AD progresses ,"	<UNKNOWN>	the risk of falling increases .	2
"The cause of death is usually an external factor , such as infection"	<UNKNOWN>	"ulcers or pneumonia , not the disease itself ."	1
Most of autosomal dominant familial AD can be	<UNKNOWN>	mutations in one of three genes : those encoding amyloid precursor protein ( APP ) and presenilins 1 and 2 .	0
This suggests that presenilin mutations	<UNKNOWN>	disease even if they lower the total amount of Aβ produced and may point to other roles of presenilin or a role for alterations in the function of APP and/or its fragments other than Aβ .	1
The APOEε4 allele increases the risk of the disease by three times in heterozygotes	<UNKNOWN>	by 15 times in homozygotes .	0
Early attempts to screen up to 400 candidate genes for association with late-onset sporadic AD ( LOAD ) resulted in a	<UNKNOWN>	yield .	0
"The oldest , on which most currently available drug therapies are based , is the `` cholinergic hypothesis '' , which proposes that AD is"	<UNKNOWN>	reduced synthesis of the neurotransmitter acetylcholine .	1
The theory holds that an amyloid-related mechanism that prunes neuronal connections in the brain in the fast-growth phase of early life may be triggered by ageing-related processes in later life to	<UNKNOWN>	the neuronal withering of Alzheimer 's disease .	1
"DR6 is highly expressed in the human brain regions most affected by Alzheimer 's ,"	<UNKNOWN>	it is possible that the N-APP/DR6 pathway might be hijacked in the ageing brain to cause damage .	2
"DR6 is highly expressed in the human brain regions most affected by Alzheimer 's , so it is possible that the N-APP/DR6 pathway might be hijacked in the ageing brain to"	<UNKNOWN>	damage .	2
Another hypothesis asserts that the disease may be	<UNKNOWN>	age-related myelin breakdown in the brain .	1
Iron released during myelin breakdown is hypothesised to	<UNKNOWN>	further damage .	2
"Alzheimer 's disease has been identified as a protein misfolding disease ( proteopathy ) ,"	<UNKNOWN>	"plaque accumulation of abnormally folded amyloid beta protein , and tau protein in the brain ."	1
"One of these fragments gives rise to fibrils of amyloid beta ,"	<UNKNOWN>	form clumps that deposit outside neurons in dense formations known as senile plaques .	2
AD is also considered a tauopathy	<UNKNOWN>	abnormal aggregation of the tau protein .	1
"Advanced medical imaging with computed tomography ( CT ) or magnetic resonance imaging ( MRI ) ,"	<UNKNOWN>	with single-photon emission computed tomography ( SPECT ) or positron emission tomography ( PET ) can be used to help exclude other cerebral pathology or subtypes of dementia .	0
"Neurological examination in early AD will usually provide normal results , except for obvious cognitive impairment , which may not differ from that"	<UNKNOWN>	"other diseases processes , including other causes of dementia ."	1
People who engage in intellectual activities	<UNKNOWN>	"reading , playing board games , completing crossword puzzles , playing musical instruments , or regular social interaction show a reduced risk for Alzheimer 's disease ."	0
"This is compatible with the cognitive reserve theory , which states that some life experiences"	<UNKNOWN>	in more efficient neural functioning providing the individual a cognitive reserve that delays the onset of dementia manifestations .	2
"Acetylcholinesterase inhibitors are employed to reduce the rate at which acetylcholine ( ACh ) is broken down , thereby increasing the concentration of ACh in the brain and combating the loss of ACh"	<UNKNOWN>	the death of cholinergic neurons .	1
"Advancing age is a primary risk factor for the disease and incidence rates are not equal for all ages : every five years after the age of 65 , the risk of acquiring the disease approximately doubles , increasing from 3 to"	<UNKNOWN>	much as 69 per thousand person years .	2
"Other approaches are neuroprotective agents , such as AL-108 , and metal-protein interaction attenuation agents ,"	<UNKNOWN>	PBT2 .	0
"The clinical symptoms of AD usually occurs after age 65 , but changes in the brain which do not cause symptoms and are"	<UNKNOWN>	"Alzheimer 's , may begin years or in some cases decades before ."	1
"The clinical symptoms of AD usually occurs after age 65 , but changes in the brain which do not"	<UNKNOWN>	"symptoms and are caused by Alzheimer 's , may begin years or in some cases decades before ."	0
"At this time there is no cure for Alzheimer 's , but there are treatments that can help some patients with the signs and symptoms"	<UNKNOWN>	they do not affect them as badly .	2
The tau proteins that form the tangles previously held together a structure inside the neurons	<UNKNOWN>	"a `` microtubule '' which is an important part of the neuron ; it forms part of the `` cytoskelton '' ( cell skeleton ) which is what maintains a cell 's shape , and microtubules plays a part in cell communication ."	0
Both tangles and plaques may be	<UNKNOWN>	"other diseases , such as Herpes simplex virus Type 1 which is being investigated as a possible cause or contributor in developing Alzheimer 's ."	1
"At this time exactly what makes up the preclinical phase of Alzheimer 's is still being researched , such as why some people with go on"	<UNKNOWN>	Alzheimer 's and others do not .	0
"Buffy gathers other allies : Spike ( James Marsters ) , a vampire , is an old companion of Angelus"	<UNKNOWN>	"one of Buffy 's major enemies in early seasons , although they later become allies and lovers ."	0
"While the show is mainly a drama with frequent comic relief , most episodes blend different genres , including horror , martial arts , romance , melodrama , farce , science fiction , comedy ,"	<UNKNOWN>	"even , in one episode , musical comedy ."	0
"Though elements and relationships are explored and ongoing subplots are included , the show focuses"	<UNKNOWN>	Buffy and her role as an archetypal heroine .	0
Buffy Summers has just moved to Sunnydale	<UNKNOWN>	"burning down her old school 's gym , and hopes to escape her Slayer duties ."	1
"Vampires Spike and Drusilla ( weakened from a mob in Prague , which , it is implied , caused her debilitating injury ) , come to town along with a new slayer , Kendra Young , who was activated"	<UNKNOWN>	Buffy 's brief death in the season one finale .	1
"Vampires Spike and Drusilla ( weakened from a mob in Prague , which , it is implied ,"	<UNKNOWN>	"her debilitating injury ) , come to town along with a new slayer , Kendra Young , who was activated as a result of Buffy 's brief death in the season one finale ."	1
"Giles returns to England because he has concluded that Buffy has become too reliant on him , while Buffy takes up a fast-food job to support herself"	<UNKNOWN>	"Dawn , and develops a secret , mutually abusive relationship with Spike ."	0
"Late in the season , after losing control and trying to rape Buffy , Spike leaves Sunnydale and travels to see a demon and asks him to `` return him to what he used to be ''"	<UNKNOWN>	he can `` give Buffy what she deserves . ''	2
"During season seven , it is revealed that Buffy 's second resurrection"	<UNKNOWN>	an instability that is allowing the First Evil to begin tipping the balance between good and evil .	2
It begins by hunting down	<UNKNOWN>	"killing inactive Potential Slayers , and soon raises an army of ancient , powerful Turok-Han vampires ."	0
Buffy slowly begins to enigmatically smile	<UNKNOWN>	"she contemplates the future ahead of her , ending the series on a hopeful note ."	0
"Several years later , Gail Berman ( later a Fox executive , but at that time President and CEO of the production company Sandollar Television , who owned the TV rights to the movie ) approached Whedon"	<UNKNOWN>	his `` Buffy '' concept into a television series .	0
Act breaks were designed as key moments to intrigue viewers	<UNKNOWN>	they would stay with the episode following the commercial break .	2
"The transfer was poorly received by some fans ,"	<UNKNOWN>	"a number of technical and format changes that were viewed as detrimental to the show 's presentation ; various scenes were heavily cropped to fit the 16:9 format , and shots were altered to have a brighter look , often with color levels altered ."	1
"Other problems included missing filters , editing errors ,"	<UNKNOWN>	poorly re-rendered CGI .	0
"Pop songs by famous artists were rarely featured prominently , but several episodes spotlighted the sounds of more famous artists"	<UNKNOWN>	"Sarah McLachlan , The Brian Jonestown Massacre , Blink-182 , Third Eye Blind , Aimee Mann ( who also had a line of dialogue ) , The Dandy Warhols , Cibo Matto , Coldplay , Lisa Loeb , K 's Choice and Michelle Branch ."	0
Hannigan described her approach to the character through Willow 's reaction to a particular moment : Willow sadly tells Buffy that her Barbie doll was taken from her	<UNKNOWN>	a child .	0
The storyline has been continued in the comic book series '' '' published by IDW Publishing	<UNKNOWN>	later `` Angel and Faith '' published by Dark Horse Comics .	0
The first story arc is also	<UNKNOWN>	"by Whedon , and is called `` The Long Way Home '' which has been widely well-received , with circulation rivalling industry leaders DC and Marvel 's top-selling titles ."	0
The popularity of `` Buffy '' and `` Angel '' has led to attempts	<UNKNOWN>	more on-screen ventures in the fictional ` Buffyverse ' .	0
`` Buffy the Animated Series '' was a proposed animated TV show based on `` Buffy '' ; Whedon	<UNKNOWN>	"Jeph Loeb were to be executive producers for the show , and most of the cast from `` Buffy '' were to return to voice their characters ."	0
"Such endeavors include `` Tru Calling '' ( Douglas Petrie , Jane Espenson and lead actress Eliza Dushku ) , `` Wonderfalls '' ( Tim Minear ) , `` Point Pleasant '' ( Marti Noxon ) , `` Jake 2.0 '' ( David Greenwalt ) , `` The Inside '' ( Tim Minear ) , `` Smallville '' ( Steven S. DeKnight ) , `` Once Upon a Time '' ( Jane Espenson ) , and `` Lost '' ( Drew Goddard"	<UNKNOWN>	David Fury ) .	0
She had superhuman strength	<UNKNOWN>	speed .	0
"The first time she died , she"	<UNKNOWN>	and was brought back to life with CPR .	0
He fell in love with her and changed his life	<UNKNOWN>	he could help her .	2
"Then he turned into Angelus and when he was finally changed back ( after months , by Willow ) , Buffy stabbed him"	<UNKNOWN>	to once again save the world by closing acaphla ( against her feelings of love for him ) .	1
Cordelia `` Cordy '' Chase ( played by Charisma Carpenter )	<UNKNOWN>	Sunnydale High with Buffy .	0
Buffy 's first death	<UNKNOWN>	Kendra Young to be chosen as the Slayer .	2
"The term `` classical music '' did not appear until the early 19th century , in an attempt to distinctly canonize the period from Johann Sebastian Bach to Beethoven"	<UNKNOWN>	a golden age .	0
The symphony orchestra is the most widely known medium	<UNKNOWN>	"classical music and includes members of the string , woodwind , brass , and percussion families of instruments ."	0
The concert band generally has a larger variety	<UNKNOWN>	"a larger amount of woodwind and brass instruments than the orchestra , but does not have a string section ."	0
"The dates are generalizations ,"	<UNKNOWN>	"the periods and eras overlap and the categories are somewhat arbitrary , to the point that some authorities reverse terminologies and refer to a common practice ` era ' comprising baroque , classical , and romantic ` periods ' ."	1
"The prefix `` neo '' is used to describe a 20th-century or contemporary composition written in the style of an earlier era ,"	<UNKNOWN>	Classical or Romantic .	0
"The symphony came into its own as a musical form ,"	<UNKNOWN>	the concerto was developed as a vehicle for displays of virtuoso playing skill .	0
"The piano , which achieved its modern construction in this era ( in part"	<UNKNOWN>	"industrial advances in metallurgy ) became widely popular with the middle class , whose demands for the instrument spurred a large number of piano builders ."	1
